Scheme Name       : step_228
Scheme lnL        : -1086261.7558746338
Scheme AIC        : 2178399.51175
Number of params  : 2938
Number of sites   : 249438
Number of subsets : 286

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 1440       | a5005318abfad535269a0b2c0354b28c | EOG090C0087_1                                                                                       
2      | GTR+G      | 2103       | 60629420c91031dab54414165cb5f798 | EOG090C0087_2, EOG090C02QR_2                                                                        
3      | GTR+G      | 1947       | 9ffa34d324fc2b25c3961a055a6325b5 | EOG090C00AN_1                                                                                       
4      | GTR+G      | 1947       | 3b3de80234a94cb2b7d18e4a3c26fc15 | EOG090C00AN_2                                                                                       
5      | GTR+G      | 1464       | 4d494a4581eb9a8e67bdf9c0d9bc4305 | EOG090C00B1_1                                                                                       
6      | GTR+G      | 1464       | d24fb0de3acad819298ffad2ba0fd97f | EOG090C00B1_2                                                                                       
7      | GTR+G      | 2009       | 4db9077b9e360cacd9476eded3f201ef | EOG090C0612_1, EOG090C00BE_1                                                                        
8      | GTR+G      | 1473       | 16601c497e955691a85e43b655bdf9af | EOG090C00BE_2                                                                                       
9      | GTR+G      | 2549       | ae88db16eba3d1c584369afc3a8689dc | EOG090C01NW_1, EOG090C00BT_1                                                                        
10     | GTR+G      | 2812       | e8313d2da46182e6f4d2ead14fa3db1c | EOG090C0737_2, EOG090C03F4_2, EOG090C00BT_2                                                         
11     | GTR+G      | 1589       | c57a5ffb933a23d5f786b563fca7033f | EOG090C00E9_1, EOG090C0F0B_1                                                                        
12     | GTR+G      | 1970       | ba01f9c1944d06669f03e54474f40c15 | EOG090C00E9_2, EOG090C06DR_2                                                                        
13     | GTR+G      | 1865       | e06775a74c0724e00b0d8ecf92e1bd40 | EOG090C00HJ_1, EOG090C09E0_1                                                                        
14     | GTR+G      | 2848       | 27d1607b3e04a48de92c44db9b31a30a | EOG090C00HJ_2, EOG090C0C82_2, EOG090C04N7_2, EOG090C061N_2                                          
15     | GTR+G      | 1993       | 4f3b5e76974b58e70739500483f9f5c5 | EOG090C00HT_1, EOG090C0814_1                                                                        
16     | GTR+G      | 1643       | 5a15ef76d2cf71f0ad2977696f611cd5 | EOG090C00HT_2                                                                                       
17     | GTR+G      | 1137       | de7b345b9782f9a9c41f3350898f8b98 | EOG090C00SW_1, EOG090C088I_1                                                                        
18     | GTR+G      | 1385       | fb5c51110fb49ab4c3e73e251a31ab81 | EOG090C00SW_2, EOG090C02GG_2                                                                        
19     | GTR+G      | 2918       | fc509679200478792f36829de920f5e2 | EOG090C07EK_1, EOG090C00VF_1, EOG090C02D8_1, EOG090C09U6_1                                          
20     | GTR+G      | 1365       | f32d683f5d6bed09b8e6e0edd243cabc | EOG090C00VF_2                                                                                       
21     | GTR+G      | 909        | c6d18af52e3737d9d3114151717a004d | EOG090C010X_1, EOG090C0E67_1                                                                        
22     | GTR+G      | 783        | 0f7d3d4c72691649b0624b2c0446eb01 | EOG090C010X_2                                                                                       
23     | GTR+G      | 1484       | ee803f86070de6b4687190fad4f526f8 | EOG090C0114_1, EOG090C0DIZ_1                                                                        
24     | GTR+G      | 1910       | f1902cca7c3e7ce4bc093ea1b07e4755 | EOG090C053D_2, EOG090C0114_2                                                                        
25     | GTR+G      | 1086       | dd4de43846afa37dfed77fd1c50d6789 | EOG090C014P_1                                                                                       
26     | GTR+G      | 1545       | 66d7c7c40bae1641054f0d8b039db6ed | EOG090C06YQ_2, EOG090C014P_2                                                                        
27     | GTR+G      | 1714       | 7c94543c918791f2389f557d316d085f | EOG090C016M_1, EOG090C06OH_1                                                                        
28     | GTR+G      | 1823       | 51ef0e25c033d218e907f22a5dc19b9d | EOG090C0ERA_2, EOG090C0814_2, EOG090C016M_2                                                         
29     | GTR+G      | 864        | 5955216a1a0c0013ede286bebab7040e | EOG090C016S_1                                                                                       
30     | GTR+G      | 864        | d2f2601859ecb37b6de5ca6265bd5cf9 | EOG090C016S_2                                                                                       
31     | GTR+G      | 1536       | 905f1bfc1d56601bb8b4b46f2940e2a4 | EOG090C035W_1, EOG090C01AQ_1                                                                        
