Scheme Name       : step_312
Scheme lnL        : -1086877.7369537354
Scheme AIC        : 2177951.47391
Number of params  : 2098
Number of sites   : 249438
Number of subsets : 202

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 2904       | dfbe350e30591394835bc03895ce1389 | EOG090C00B1_1, EOG090C0087_1                                                                        
2      | GTR+G      | 2103       | 60629420c91031dab54414165cb5f798 | EOG090C0087_2, EOG090C02QR_2                                                                        
3      | GTR+G      | 1947       | 9ffa34d324fc2b25c3961a055a6325b5 | EOG090C00AN_1                                                                                       
4      | GTR+G      | 1947       | 3b3de80234a94cb2b7d18e4a3c26fc15 | EOG090C00AN_2                                                                                       
5      | GTR+G      | 1884       | 9c486dfdca7a236b3a1353393a4a6462 | EOG090C00B1_2, EOG090C01W9_2                                                                        
6      | GTR+G      | 2009       | 4db9077b9e360cacd9476eded3f201ef | EOG090C0612_1, EOG090C00BE_1                                                                        
7      | GTR+G      | 1473       | 16601c497e955691a85e43b655bdf9af | EOG090C00BE_2                                                                                       
8      | GTR+G      | 2549       | ae88db16eba3d1c584369afc3a8689dc | EOG090C01NW_1, EOG090C00BT_1                                                                        
9      | GTR+G      | 2812       | e8313d2da46182e6f4d2ead14fa3db1c | EOG090C0737_2, EOG090C03F4_2, EOG090C00BT_2                                                         
10     | GTR+G      | 1998       | 50f75b02a9d30c9b546d2026d3277696 | EOG090C07T9_1, EOG090C00E9_1, EOG090C0F0B_1                                                         
11     | GTR+G      | 1970       | ba01f9c1944d06669f03e54474f40c15 | EOG090C00E9_2, EOG090C06DR_2                                                                        
12     | GTR+G      | 2086       | 3e6a3059f50611da0349b35ac034603f | EOG090C0BHC_1, EOG090C00HJ_1, EOG090C09E0_1                                                         
13     | GTR+G      | 3977       | 25fea281d90d4d04ba42c73d86b266ca | EOG090C01LV_2, EOG090C0FMY_2, EOG090C00HJ_2, EOG090C0C82_2, EOG090C04N7_2, EOG090C061N_2            
14     | GTR+G      | 1993       | 4f3b5e76974b58e70739500483f9f5c5 | EOG090C00HT_1, EOG090C0814_1                                                                        
15     | GTR+G      | 1795       | 8dd7e5d85305a7374cf4342c76776b9e | EOG090C00HT_2, EOG090C0EQT_2                                                                        
16     | GTR+G      | 1702       | 7b352cad3a7fdcc768bb6b268341f4f0 | EOG090C01S4_1, EOG090C00SW_1, EOG090C088I_1                                                         
17     | GTR+G      | 1385       | fb5c51110fb49ab4c3e73e251a31ab81 | EOG090C00SW_2, EOG090C02GG_2                                                                        
18     | GTR+G      | 3705       | c7e6b2d10b9278212a97de55f75ce041 | EOG090C063X_1, EOG090C04TR_1, EOG090C07EK_1, EOG090C00VF_1, EOG090C02D8_1, EOG090C09U6_1            
19     | GTR+G      | 1365       | f32d683f5d6bed09b8e6e0edd243cabc | EOG090C00VF_2                                                                                       
20     | GTR+G      | 2167       | b84fd74748f871744679fc045ee80de3 | EOG090C010X_1, EOG090C0E67_1, EOG090C01O8_1, EOG090C05A5_1, EOG090C0E66_1                           
21     | GTR+G      | 783        | 0f7d3d4c72691649b0624b2c0446eb01 | EOG090C010X_2                                                                                       
22     | GTR+G      | 1484       | ee803f86070de6b4687190fad4f526f8 | EOG090C0114_1, EOG090C0DIZ_1                                                                        
23     | GTR+G      | 1910       | f1902cca7c3e7ce4bc093ea1b07e4755 | EOG090C053D_2, EOG090C0114_2                                                                        
24     | GTR+G      | 2343       | 915146cc799904beb3541338ffee93bf | EOG090C014P_1, EOG090C05G1_1, EOG090C01EW_1                                                         
25     | GTR+G      | 3643       | 38ea9beea0d286032d67505016aacd12 | EOG090C06YQ_2, EOG090C014P_2, EOG090C01BG_2, EOG090C03FG_2, EOG090C04TR_2                           
