Scheme Name       : step_108
Scheme lnL        : -584111.8761901855
Scheme AIC        : 1171819.75238
Number of params  : 1798
Number of sites   : 135334
Number of subsets : 172

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 1833       | f6cbdcde0fe3641733047670aa57bc98 | EOG090C084P_1, EOG090C00BE_1                                                                        
2      | GTR+G      | 1473       | 54ad1299c7315cf832538b5e164ddac0 | EOG090C00BE_2                                                                                       
3      | GTR+G      | 1865       | 14818d5b71755746190eb0f7a410f614 | EOG090C09E0_1, EOG090C00HJ_1                                                                        
4      | GTR+G      | 2009       | 9ea3771350b9ad004f05835ebe9ae2f2 | EOG090C00HJ_2, EOG090C06DR_2                                                                        
5      | GTR+G      | 1840       | cb07e5e24aed1e5f82de93c1a8c9db4a | EOG090C02S2_1, EOG090C010X_1, EOG090C095H_1                                                         
6      | GTR+G      | 783        | cac15abb07e01d1329fd73ad79537065 | EOG090C010X_2                                                                                       
7      | GTR+G      | 1086       | 30476b784c3294ad5e635ae543a5c4a2 | EOG090C014P_1                                                                                       
8      | GTR+G      | 1545       | d715ab5b9851670682cb84ae5a6fa98e | EOG090C014P_2, EOG090C06YQ_2                                                                        
9      | GTR+G      | 2095       | 05b764e9076b439667952f8ce22815c2 | EOG090C08IP_1, EOG090C07FM_2, EOG090C016M_1                                                         
10     | GTR+G      | 2190       | 87793b93646f9599844e497622ba683b | EOG090C04H0_2, EOG090C016M_2, EOG090C0ERA_2                                                         
11     | GTR+G      | 754        | 073cefdd408f219320ade99aea4ee28e | EOG090C01AQ_1                                                                                       
12     | GTR+G      | 1033       | ec417ef316ded8cc0f913c5b7212c541 | EOG090C01AQ_2, EOG090C0ACE_2                                                                        
13     | GTR+G      | 1724       | fee949aacde7ebccd2c8200932f37bf5 | EOG090C01NW_1, EOG090C01BG_1                                                                        
14     | GTR+G      | 1360       | 1f53694524f5cd83e66939d41164d1b8 | EOG090C01BG_2, EOG090C04TR_2                                                                        
15     | GTR+G      | 731        | 167bd5e492451b926adabd36c8fef8d8 | EOG090C01CW_1                                                                                       
16     | GTR+G      | 731        | f97cc98155fa65d57205632ade85ac59 | EOG090C01CW_2                                                                                       
17     | GTR+G      | 1004       | 62a3c5085744d2bf4e7723e7b86421f3 | EOG090C01LV_1                                                                                       
18     | GTR+G      | 1004       | a7ec8fb46e4616ef5eecb6271a0d7401 | EOG090C01LV_2                                                                                       
19     | GTR+G      | 1210       | a8bcb9aeeff01abaad3f7908dcf8a7c0 | EOG090C01NW_2, EOG090C04QC_2                                                                        
20     | GTR+G      | 971        | ad86257e272081e0fce2a6b4933f5b8a | EOG090C01QP_1                                                                                       
21     | GTR+G      | 971        | ad9cd315a5bef886c24d1b02e2d58216 | EOG090C01QP_2                                                                                       
22     | GTR+G      | 565        | 1e0f16c50200d0c031c2f78487552e15 | EOG090C01S4_1                                                                                       
23     | GTR+G      | 974        | 20d7e3d0a44a4b5552548373b148ea6c | EOG090C07T9_2, EOG090C01S4_2                                                                        
