Scheme Name       : step_187
Scheme lnL        : -912310.5282287598
Scheme AIC        : 1829037.05646
Number of params  : 2208
Number of sites   : 206048
Number of subsets : 213

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 1440       | a5005318abfad535269a0b2c0354b28c | EOG090C0087_1                                                                                       
2      | GTR+G      | 2103       | 7b765108ca8567e9f81199f89dc1d1a0 | EOG090C02QR_2, EOG090C0087_2                                                                        
3      | GTR+G      | 1947       | 9ffa34d324fc2b25c3961a055a6325b5 | EOG090C00AN_1                                                                                       
4      | GTR+G      | 1947       | 3b3de80234a94cb2b7d18e4a3c26fc15 | EOG090C00AN_2                                                                                       
5      | GTR+G      | 2009       | b55d4e48048ef64898b20a81f4f0f813 | EOG090C0612_1, EOG090C00BE_1                                                                        
6      | GTR+G      | 1473       | beff2ec1fd6bb66d81094a96588ff60e | EOG090C00BE_2                                                                                       
7      | GTR+G      | 2549       | e4cd476346c0cf847e118d87531952e7 | EOG090C00BT_1, EOG090C01NW_1                                                                        
8      | GTR+G      | 2812       | 21c2f8b8b44717abdc0d4ef54f660946 | EOG090C0737_2, EOG090C00BT_2, EOG090C03F4_2                                                         
9      | GTR+G      | 2086       | 94fbce8d2bb76fd718c1535e4eace60d | EOG090C0BHC_1, EOG090C09E0_1, EOG090C00HJ_1                                                         
10     | GTR+G      | 2848       | 37eff03cee6fdb38339d41c756ac55d1 | EOG090C00HJ_2, EOG090C0C82_2, EOG090C04N7_2, EOG090C061N_2                                          
11     | GTR+G      | 2218       | 7d23f57c973cebd6d4e1eab564b7218e | EOG090C095H_1, EOG090C00HT_1, EOG090C0814_1                                                         
12     | GTR+G      | 1643       | 87d9e311b3937ccb78b07ba7a49ebc35 | EOG090C00HT_2                                                                                       
13     | GTR+G      | 1194       | 46371592d5e40917960ba1fc35f0113f | EOG090C05VD_1, EOG090C00SW_1                                                                        
14     | GTR+G      | 1385       | ead69fdbb9d5f8919946290635f25b5f | EOG090C02GG_2, EOG090C00SW_2                                                                        
15     | GTR+G      | 2027       | 831e6fa044df8359ea6deb290cd459b9 | EOG090C00VF_1, EOG090C07YF_1, EOG090C09U6_1                                                         
16     | GTR+G      | 1365       | 2baf649cf425d320f4335f881e736235 | EOG090C00VF_2                                                                                       
17     | GTR+G      | 1872       | 9c5fd97a05e2f4d6571a368d954ec9d0 | EOG090C010X_1, EOG090C05A5_1, EOG090C01O8_1                                                         
18     | GTR+G      | 783        | 2d72c067aaf6b675f22112bcb9ca5277 | EOG090C010X_2                                                                                       
19     | GTR+G      | 1086       | 9d176c9cbcbb8b431b67da3eae4db2d8 | EOG090C014P_1                                                                                       
20     | GTR+G      | 1545       | 1bd387b936cd8b6edf97510a321cb70b | EOG090C014P_2, EOG090C06YQ_2                                                                        
21     | GTR+G      | 1666       | cf6d4eba30b60dd1122cdeabd6705ca6 | EOG090C016M_1, EOG090C08IP_1                                                                        
22     | GTR+G      | 1823       | 8a589217f39bccf007f3014b1e253d4d | EOG090C0ERA_2, EOG090C0814_2, EOG090C016M_2                                                         
23     | GTR+G      | 1536       | 4db0c5dc7f980c5162e433efd1b07154 | EOG090C035W_1, EOG090C01AQ_1                                                                        
24     | GTR+G      | 2215       | 4c9c57ac0f771f4b4f815efab74de5f6 | EOG090C01AQ_2, EOG090C02KW_2, EOG090C0ACE_2                                                         
25     | GTR+G      | 1941       | 7686c1b734a2a15a05b3e8a78b20eea0 | EOG090C01BG_1, EOG090C01O3_1                                                                        
26     | GTR+G      | 2098       | 784c579bc0690a6cf2488a02417d4de7 | EOG090C01BG_2, EOG090C03FG_2, EOG090C04TR_2                                                         
27     | GTR+G      | 731        | bf59e2a8977c2e8b71b6d0c0654c0cb4 | EOG090C01CW_1                                                                                       
28     | GTR+G      | 731        | 97dc05f97d5d13dc98cd583e9519c823 | EOG090C01CW_2                                                                                       
29     | GTR+G      | 1004       | c3f1087586b534f09f94e66e73d80ce4 | EOG090C01LV_1                                                                                       
30     | GTR+G      | 1004       | 7ec77d952bc79327effdf6e63a240f03 | EOG090C01LV_2                                                                                       
31     | GTR+G      | 2424       | 9bf4fc94e51898c3858e912bc1ce488b | EOG090C0BXY_1, EOG090C0E0A_1, EOG090C01M7_1, EOG090C02JH_1                                          
32     | GTR+G      | 1884       | 6071a20b880429f4974c806f1e7eb67f | EOG090C027B_2, EOG090C01M7_2                                                                        
33     | GTR+G      | 1577       | dc4065239ce3bf6521a71889a9749b0a | EOG090C01NW_2, EOG090C01O3_2                                                                        
34     | GTR+G      | 2135       | d1eb12681cd773428212a8c1e63773da | EOG090C07EK_2, EOG090C01O8_2, EOG090C04QC_2, EOG090C048B_2                                          
