Scheme Name       : step_217
Scheme lnL        : -912539.0779724121
Scheme AIC        : 1828894.15594
Number of params  : 1908
Number of sites   : 206048
Number of subsets : 183

Subset | Best Model | # sites    | subset id                        | Partition names                                                                                     
1      | GTR+G      | 2103       | 89def2de319fa9712da23f2a2a4db49a | EOG090C02QR_1, EOG090C0087_1                                                                        
2      | GTR+G      | 2103       | 7b765108ca8567e9f81199f89dc1d1a0 | EOG090C02QR_2, EOG090C0087_2                                                                        
3      | GTR+G      | 1947       | 9ffa34d324fc2b25c3961a055a6325b5 | EOG090C00AN_1                                                                                       
4      | GTR+G      | 1947       | 3b3de80234a94cb2b7d18e4a3c26fc15 | EOG090C00AN_2                                                                                       
5      | GTR+G      | 2009       | b55d4e48048ef64898b20a81f4f0f813 | EOG090C0612_1, EOG090C00BE_1                                                                        
6      | GTR+G      | 1473       | beff2ec1fd6bb66d81094a96588ff60e | EOG090C00BE_2                                                                                       
7      | GTR+G      | 2549       | e4cd476346c0cf847e118d87531952e7 | EOG090C00BT_1, EOG090C01NW_1                                                                        
8      | GTR+G      | 2812       | 21c2f8b8b44717abdc0d4ef54f660946 | EOG090C0737_2, EOG090C00BT_2, EOG090C03F4_2                                                         
9      | GTR+G      | 2086       | 94fbce8d2bb76fd718c1535e4eace60d | EOG090C0BHC_1, EOG090C09E0_1, EOG090C00HJ_1                                                         
10     | GTR+G      | 3852       | 8381351eb2d53b81758a434fa6967b2c | EOG090C01LV_2, EOG090C00HJ_2, EOG090C0C82_2, EOG090C04N7_2, EOG090C061N_2                           
11     | GTR+G      | 2218       | 7d23f57c973cebd6d4e1eab564b7218e | EOG090C095H_1, EOG090C00HT_1, EOG090C0814_1                                                         
12     | GTR+G      | 1643       | 87d9e311b3937ccb78b07ba7a49ebc35 | EOG090C00HT_2                                                                                       
13     | GTR+G      | 1194       | 46371592d5e40917960ba1fc35f0113f | EOG090C05VD_1, EOG090C00SW_1                                                                        
14     | GTR+G      | 1385       | ead69fdbb9d5f8919946290635f25b5f | EOG090C02GG_2, EOG090C00SW_2                                                                        
15     | GTR+G      | 2027       | 831e6fa044df8359ea6deb290cd459b9 | EOG090C00VF_1, EOG090C07YF_1, EOG090C09U6_1                                                         
16     | GTR+G      | 1365       | 2baf649cf425d320f4335f881e736235 | EOG090C00VF_2                                                                                       
17     | GTR+G      | 1872       | 9c5fd97a05e2f4d6571a368d954ec9d0 | EOG090C010X_1, EOG090C05A5_1, EOG090C01O8_1                                                         
18     | GTR+G      | 783        | 2d72c067aaf6b675f22112bcb9ca5277 | EOG090C010X_2                                                                                       
19     | GTR+G      | 1086       | 9d176c9cbcbb8b431b67da3eae4db2d8 | EOG090C014P_1                                                                                       
20     | GTR+G      | 3643       | 16208dc6ad2aa192dcd030cacee3e314 | EOG090C014P_2, EOG090C06YQ_2, EOG090C01BG_2, EOG090C03FG_2, EOG090C04TR_2                           
21     | GTR+G      | 2804       | d0deadf905d2960350b8761d483dd3c5 | EOG090C07FM_2, EOG090C031J_1, EOG090C016M_1, EOG090C08IP_1                                          
22     | GTR+G      | 1823       | 8a589217f39bccf007f3014b1e253d4d | EOG090C0ERA_2, EOG090C0814_2, EOG090C016M_2                                                         
23     | GTR+G      | 1536       | 4db0c5dc7f980c5162e433efd1b07154 | EOG090C035W_1, EOG090C01AQ_1                                                                        
24     | GTR+G      | 2215       | 4c9c57ac0f771f4b4f815efab74de5f6 | EOG090C01AQ_2, EOG090C02KW_2, EOG090C0ACE_2                                                         
25     | GTR+G      | 2432       | fd2bd9f3471f1e70f02587510eb2706c | EOG090C09YB_1, EOG090C01BG_1, EOG090C01O3_1                                                         
26     | GTR+G      | 731        | bf59e2a8977c2e8b71b6d0c0654c0cb4 | EOG090C01CW_1                                                                                       
27     | GTR+G      | 1125       | 9357ec8a6b44e5f25254775a8ad3e7de | EOG090C09UD_2, EOG090C01CW_2                                                                        
28     | GTR+G      | 1004       | c3f1087586b534f09f94e66e73d80ce4 | EOG090C01LV_1                                                                                       
29     | GTR+G      | 2424       | 9bf4fc94e51898c3858e912bc1ce488b | EOG090C0BXY_1, EOG090C0E0A_1, EOG090C01M7_1, EOG090C02JH_1                                          
